percent,mgmfifomean,mgmfifosd,mgmsjfmean,mgmsjfsd,mmmfifomean,mmmfifosd,mmmsjfmean,mmmsjfsd
1,431,1383,4,11,470235,542151,22,25
2,10063,9919,39,24,1446029,573573,67,25
3,29414,12836,78,23,2418408,553740,111,27
4,57651,19786,119,24,3415974,574576,156,26
5,89619,17360,159,23,4383861,572176,202,27
6,121058,22212,199,23,5388342,581421,246,25
7,157553,22847,239,22,6385597,576848,288,25
8,224229,53860,277,23,7369265,560145,332,26
9,295577,44939,317,23,8346245,592928,379,26
10,389394,43155,358,24,9404137,604907,424,25
11,456751,33856,399,24,10422228,578407,467,25
12,520882,49902,439,24,11415756,558748,510,26
13,600998,37503,485,27,12417327,560400,557,27
14,742691,232698,531,27,13402317,578726,603,26
15,1260948,243679,580,28,14359394,528284,649,27
16,1504377,66105,630,30,15340055,592040,696,28
17,1708552,195227,683,32,16375677,561548,745,27
18,2015471,187270,740,33,17348286,575511,793,28
19,5629797,2578313,804,39,18327639,561931,841,27
20,6411985,105059,872,38,19348660,597990,887,27
21,6513598,45659,937,38,20392253,602336,934,27
22,6614825,75856,1007,43,21412481,580616,984,30
23,6792044,118431,1084,45,22440036,609060,1035,31
24,6974015,99264,1166,47,23430608,546224,1086,30
25,7099174,41574,1252,53,24415537,575349,1138,29
26,7164293,48155,1345,54,25381711,534910,1187,27
27,7270634,70544,1440,59,26371102,572758,1237,30
28,7344803,28346,1545,62,27382392,607277,1289,30
29,7395861,29739,1652,65,28408272,589725,1343,32
30,7476000,85840,1772,73,29373146,550095,1396,31
31,7648080,105001,1900,74,30317388,572153,1451,32
32,7984381,211919,2036,83,31333423,583382,1505,31
33,8244599,97281,2179,82,32356432,590753,1560,33
34,8374044,68573,2331,93,33361056,563433,1615,32
35,8479610,61950,2499,99,34373231,590583,1672,31
36,8625352,172143,2680,107,35377932,569475,1728,32
37,8929691,142945,2871,120,36357980,564684,1786,36
38,9068512,54200,3083,121,37332406,587509,1847,32
39,9146498,31950,3296,131,38328434,549572,1904,35
40,9192596,20938,3531,137,39315808,572738,1965,35
41,9238763,31205,3788,153,40284654,582477,2026,34
42,9307220,52120,4054,160,41270913,571376,2088,35
43,9384042,44181,4354,180,42249152,549735,2151,38
44,9476360,56922,4665,181,43188849,561252,2213,35
45,9543831,31207,5001,200,44159128,535157,2278,40
46,9646734,87100,5367,221,45131597,582286,2346,39
47,11327760,4195177,5779,251,46144180,588380,2414,39
48,14728430,65233,6199,243,47180115,600735,2483,41
49,15117452,589226,6642,273,48181712,570742,2555,42
50,15784828,213882,7123,281,49163832,582085,2629,44
51,15991325,90754,7637,320,50149711,551836,2701,40
52,22418555,12417535,8204,343,51123340,578600,2776,45
53,28870405,346177,8810,376,52145833,601661,2854,45
54,30110800,1418934,9456,375,53160390,567668,2929,44
55,33572714,182403,10160,463,54159905,578751,3005,46
56,33749053,65569,10931,440,55183671,592310,3088,48
57,33856727,41584,11756,511,56226271,579294,3172,52
58,33953966,94913,12647,518,57220747,554752,3263,53
59,34171048,165722,13595,569,58210620,606990,3356,52
60,39265470,8229934,14600,609,59248878,599985,3444,54
61,42785724,28359,15737,729,60293565,585503,3539,56
62,42860564,74789,17013,751,61326385,596155,3641,61
63,43019627,109373,18403,855,62303267,561038,3746,60
64,43152293,78855,19919,910,63315779,592940,3851,63
65,43315704,71844,21528,985,64324516,573164,3961,63
66,43424831,55564,23252,1021,65369275,612214,4076,70
67,43500896,43569,25155,1088,66362929,577082,4198,74
68,43575675,36273,27157,1292,67374201,595756,4323,70
69,43664233,98363,29448,1305,68368202,570427,4451,76
70,43810037,51377,31801,1468,69368718,579156,4589,82
71,43942223,96856,34450,1606,70355771,548007,4734,82
72,44070644,47384,37348,1783,71370993,578578,4880,87
73,44167414,56378,40649,1988,72369810,600349,5043,101
74,44240324,32174,44187,2096,73393814,564799,5213,98
75,44290423,24440,48184,2481,74392343,582293,5390,103
76,44323647,21757,52438,2459,75406942,571891,5590,121
77,44366209,27008,57132,2832,76409498,610157,5805,131
78,44405738,16690,62093,2861,77422860,578809,6048,148
79,44426963,10911,67542,3240,78390431,567074,6322,168
80,44453193,19837,73623,3685,79364139,563898,6638,199
81,44488854,25264,80639,4348,80381094,577470,7010,239
82,44540045,36732,88151,4323,81402423,594370,7442,271
83,44604783,35602,96501,5371,82434789,561766,7959,337
84,44685185,58668,106559,5880,83443364,612121,8578,371
85,44787530,48848,117382,6897,84484512,556960,9268,453
86,44869448,46229,130129,7929,85449508,576323,10086,515
87,44963476,88728,145041,9422,86443063,596001,11101,639
88,45120657,56770,162217,11293,87482054,595677,12313,761
89,45207656,53531,183951,13309,88547056,617372,13724,871
90,45284881,36326,209582,17154,89603838,570880,15470,1165
91,45356618,46029,241371,19923,90592637,580939,17899,1605
92,45444390,66284,278926,24103,91605318,557435,21170,2256
93,46019328,512480,326031,31581,92573832,556607,25677,3048
94,46787167,253388,389781,42684,93565036,586754,32081,4516
95,47397464,442607,478536,59336,94539783,535082,42114,7339
96,47872846,101225,633925,139334,95513928,569075,58824,12975
97,48171564,834677,1183979,599650,96514457,581641,91786,27671
98,49445176,102216,2759069,1094321,97545202,605470,175470,77384
99,49705731,187883,4673853,1139687,98536011,564486,492991,383802
100,50048885,126048,8207357,11963973,99523411,608747,18549816,67559035
